,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","        Pangasinan",,      10,,      10,,       0,,     565,,     245,,     320,
"Knowledge of languages","        Tagalog (Pilipino; Filipino)",,    2580,,     955,,    1630,,  232935,,   91110,,  141820,
"Knowledge of languages","        Waray-Waray",,       0,,       0,,      10,,     410,,     125,,     285,
"Knowledge of languages","        Austronesian languages; n.i.e.",,      15,,      10,,      10,,    1785,,     755,,    1030,
"Knowledge of languages","      Creole languages",,     230,,      85,,     145,,   30260,,   13525,,   16735,
"Knowledge of languages","        Haitian Creole",,      15,,       0,,      10,,    1430,,     605,,     830,
"Knowledge of languages","        Creole; n.o.s.",,     140,,      55,,      90,,   19375,,    8480,,   10895,
"Knowledge of languages","        Creole languages; n.i.e.",,      70,,      30,,      45,,    9685,,    4525,,    5155,
"Knowledge of languages","      Dravidian languages",,    1155,,     565,,     590,,  196315,,   97975,,   98335,
"Knowledge of languages","        Kannada",,      90,,      35,,      55,,    5775,,    2930,,    2845,
"Knowledge of languages","        Malayalam",,     265,,     115,,     150,,   22880,,   11535,,   11345,
"Knowledge of languages","        Tamil",,     670,,     355,,     315,,  157700,,   77975,,   79730,
"Knowledge of languages","        Telugu",,     190,,      80,,     110,,   16315,,    8925,,    7390,
"Knowledge of languages","        Dravidian languages; n.i.e.",,       0,,       0,,       0,,     495,,     250,,     240,
"Knowledge of languages","      Hmong-Mien languages",,       0,,       0,,       0,,     545,,     265,,     280,
"Knowledge of languages","      Indo-European languages",,   48220,,   22815,,   25410,, 2608060,, 1265535,, 1342525,
"Knowledge of languages","        Albanian",,     375,,     200,,     175,,   22375,,   11180,,   11195,
"Knowledge of languages","        Armenian",,     225,,     120,,     100,,   18435,,    8860,,    9575,
"Knowledge of languages","        Balto-Slavic languages",,   13325,,    6185,,    7135,,  473565,,  221450,,  252120,
"Knowledge of languages","          Baltic languages",,     310,,     115,,     195,,   10545,,    4495,,    6050,
"Knowledge of languages","            Latvian",,     105,,      45,,      55,,    4675,,    2070,,    2610,
"Knowledge of languages","            Lithuanian",,     205,,      70,,     135,,    5875,,    2430,,    3445,
"Knowledge of languages","          Slavic languages",,   13085,,    6085,,    6995,,  465170,,  217885,,  247285,
"Knowledge of languages","            Belarusan",,      50,,      30,,      15,,    1360,,     680,,     680,
"Knowledge of languages","            Bosnian",,     145,,      75,,      70,,    9915,,    4905,,    5010,
"Knowledge of languages","            Bulgarian",,     435,,     225,,     215,,   10410,,    5060,,    5350,
"Knowledge of languages","            Croatian",,    2600,,    1285,,    1310,,   46580,,   22880,,   23700,
"Knowledge of languages","            Czech",,     400,,     170,,     235,,   14045,,    6615,,    7430,
"Knowledge of languages","            Macedonian",,     560,,     290,,     270,,   21505,,   10365,,   11140,
"Knowledge of languages","            Polish",,    3990,,    1770,,    2215,,  142985,,   65415,,   77575,
"Knowledge of languages","            Russian",,    2590,,    1140,,    1450,,  138735,,   64355,,   74380,
"Knowledge of languages","            Serbian",,    1930,,     910,,    1020,,   53250,,   26725,,   26525,
"Knowledge of languages","            Serbo-Croatian",,     125,,      50,,      75,,    5815,,    2845,,    2965,
"Knowledge of languages","            Slovak",,     415,,     200,,     220,,   12035,,    5550,,    6490,
"Knowledge of languages","            Slovene (Slovenian)",,     150,,      40,,     110,,    7935,,    3550,,    4390,
"Knowledge of languages","            Ukrainian",,    1260,,     575,,     690,,   54615,,   24125,,   30490,
"Knowledge of languages","            Slavic languages; n.i.e.",,      50,,      15,,      30,,    1750,,     935,,     815,
"Knowledge of languages","        Celtic languages",,     105,,      45,,      60,,    3800,,    1880,,    1920,
"Knowledge of languages","          Scottish Gaelic",,      40,,      15,,      25,,    1480,,     720,,     765,
"Knowledge of languages","          Welsh",,      20,,       0,,      15,,     685,,     300,,     390,
"Knowledge of languages","          Celtic languages; n.i.e.",,      45,,      20,,      20,,    1650,,     870,,     785,
"Knowledge of languages","        Germanic languages",,    4315,,    1940,,    2375,,  274305,,  130610,,  143700,
"Knowledge of languages","          Afrikaans",,     615,,     285,,     325,,    7360,,    3625,,    3735,
"Knowledge of languages","          Danish",,     145,,      65,,      80,,    5440,,    2455,,    2980,
"Knowledge of languages","          Dutch",,     720,,     325,,     395,,   63410,,   29875,,   33535,
"Knowledge of languages","          Frisian",,      10,,      10,,       0,,    1655,,     820,,     835,
"Knowledge of languages","          German",,    2885,,    1315,,    1570,,  189035,,   90730,,   98305,
"Knowledge of languages","          Icelandic",,       0,,       0,,       0,,     285,,     130,,     155,
"Knowledge of languages","          Norwegian",,      35,,      15,,      25,,    2140,,     975,,    1165,
"Knowledge of languages","          Swedish",,     110,,      35,,      75,,    5125,,    2345,,    2785,
"Knowledge of languages","          Vlaams (Flemish)",,      10,,       0,,      10,,    2275,,    1050,,    1225,
"Knowledge of languages","          Yiddish",,      15,,       0,,      15,,    7175,,    3535,,    3640,
"Knowledge of languages","          Germanic languages; n.i.e.",,       0,,       0,,       0,,    3290,,    1645,,    1645,
"Knowledge of languages","        Greek",,     930,,     420,,     505,,   80690,,   40105,,   40590,
"Knowledge of languages","        Indo-Iranian languages",,   13440,,    6545,,    6895,,  915765,,  463175,,  452585,
"Knowledge of languages","          Indo-Aryan languages",,   11375,,    5575,,    5795,,  759390,,  384940,,  374450,
"Knowledge of languages","            Bengali",,     465,,     235,,     225,,   59685,,   30420,,   29265,
"Knowledge of languages","            Gujarati",,     970,,     450,,     520,,  103890,,   52380,,   51510,
"Knowledge of languages","            Hindi",,    3905,,    1920,,    1990,,  250095,,  127765,,  122335,
"Knowledge of languages","            Kashmiri",,      55,,      30,,      25,,     600,,     300,,     300,
"Knowledge of languages","            Konkani",,     160,,      75,,      90,,    5490,,    2515,,    2975,
"Knowledge of languages","            Marathi",,     190,,     110,,      90,,   10360,,    5380,,    4980,
"Knowledge of languages","            Nepali",,      15,,      10,,      10,,   10245,,    5115,,    5135,
"Knowledge of languages","            Oriya (Odia)",,      25,,      15,,      10,,    1090,,     515,,     570,
"Knowledge of languages","            Punjabi (Panjabi)",,    3805,,    1905,,    1900,,  282065,,  145050,,  137015,
"Knowledge of languages","            Sindhi",,     180,,     100,,      75,,   11515,,    5385,,    6130,
"Knowledge of languages","            Sinhala (Sinhalese)",,     315,,     160,,     160,,   18555,,    9230,,    9330,
"Knowledge of languages","            Urdu",,    4340,,    2140,,    2200,,  231500,,  117305,,  114190,
"Knowledge of languages","          Iranian languages",,    2200,,    1035,,    1165,,  163490,,   81710,,   81785,
"Knowledge of languages","            Kurdish",,      60,,      30,,      30,,    8795,,    4755,,    4040,
"Knowledge of languages","            Pashto",,     510,,     235,,     275,,   15315,,    8145,,    7170,
"Knowledge of languages","            Persian (Farsi)",,    1785,,     825,,     955,,  145465,,   72275,,   73190,
"Knowledge of languages","          Indo-Iranian languages; n.i.e.",,      55,,      30,,      30,,    4665,,    2495,,    2175,
"Knowledge of languages","        Italic (Romance) languages",,   16695,,    7890,,    8805,,  880330,,  418225,,  462105,
"Knowledge of languages","          Catalan",,      10,,      10,,       0,,     515,,     275,,     240,
"Knowledge of languages","          Italian",,    5030,,    2435,,    2600,,  333645,,  161190,,  172455,
"Knowledge of languages","          Portuguese",,    4190,,    2035,,    2155,,  193520,,   93885,,   99635,
"Knowledge of languages","          Romanian",,    1265,,     600,,     660,,   49635,,   23205,,   26430,
"Knowledge of languages","          Spanish",,    7015,,    3190,,    3825,,  337615,,  156040,,  181580,
"Knowledge of languages","          Italic (Romance) languages; n.i.e.",,      20,,       0,,      20,,    1355,,     745,,     605,
"Knowledge of languages","      Japanese",,     475,,     220,,     260,,   25675,,   11535,,   14140,
"Knowledge of languages","      Kartvelian languages",,       0,,       0,,       0,,    1555,,     775,,     780,
"Knowledge of languages","        Georgian",,       0,,       0,,       0,,    1555,,     770,,     785,
"Knowledge of languages","      Korean",,    2590,,    1245,,    1345,,   79175,,   36930,,   42245,
"Knowledge of languages","      Mongolic languages",,       0,,       0,,       0,,     515,,     225,,     285,
"Knowledge of languages","        Mongolian",,       0,,       0,,       0,,     515,,     225,,     285,
"Knowledge of languages","      Niger-Congo languages",,     815,,     385,,     435,,   70570,,   33620,,   36945,
"Knowledge of languages","        Akan (Twi)",,     175,,      75,,     100,,   15950,,    7520,,    8435,
"Knowledge of languages","        Bamanankan",,       0,,       0,,       0,,     385,,     195,,     185,
"Knowledge of languages","        Edo",,      10,,       0,,      10,,    2130,,     930,,    1195,
"Knowledge of languages","        Ewe",,      25,,      10,,      10,,     880,,     435,,     445,
"Knowledge of languages","        Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     700,,     320,,     375,
"Knowledge of languages","        Ga",,      20,,      15,,       0,,    1340,,     645,,     695,
"Knowledge of languages","        Ganda",,      15,,      10,,      10,,    1225,,     550,,     675,
"Knowledge of languages","        Igbo",,     100,,      55,,      50,,    4025,,    2105,,    1920,
"Knowledge of languages","        Lingala",,      25,,      15,,      10,,    4885,,    2165,,    2720,
"Knowledge of languages","        Rundi (Kirundi)",,       0,,       0,,       0,,    2555,,    1080,,    1475,
"Knowledge of languages","        Kinyarwanda (Rwanda)",,       0,,       0,,       0,,    2220,,     885,,    1330,
"Knowledge of languages","        Shona",,      10,,       0,,       0,,    2350,,    1055,,    1300,
"Knowledge of languages","        Swahili",,     180,,     100,,      90,,   16750,,    8110,,    8640,
"Knowledge of languages","        Wolof",,      10,,       0,,       0,,     730,,     355,,     375,
"Knowledge of languages","        Yoruba",,     245,,     115,,     135,,   10495,,    5345,,    5150,
"Knowledge of languages","        Niger-Congo languages; n.i.e.",,      65,,      25,,      35,,   11210,,    5255,,    5950,
"Knowledge of languages","      Nilo-Saharan languages",,      10,,      10,,      10,,    2025,,    1020,,    1010,
"Knowledge of languages","        Dinka",,       0,,       0,,       0,,     415,,     220,,     200,
"Knowledge of languages","        Nilo-Saharan languages; n.i.e.",,      10,,       0,,       0,,    1615,,     805,,     810,
